['PTS'] : -0.49259875718175133 ,
['FGM'] : 0.19513452044125132 ,
['FGA'] : 0.14222373226465795 ,
['FTM'] : -0.07877815692962932 ,
['FTA'] : 0.04783250841376069 ,
['REB'] : 0.04180886841906709 ,
['AST'] : 0.43983693192172224 ,
['STL'] : 0.5267016327613727 ,
['BLK'] : 0.6879988661837046 ,
['TO'] : 0.29191741929108267 ,
['Win'] : -0.19507697442276756 ,
['PTS', 'FGA', 'FTM', 'STL'] : -0.6180618335720013 ,
['PTS', 'FGA', 'FTM', 'BLK'] : -0.31828177066316965 ,
['PTS', 'FGA', 'FTM', 'TO'] : -0.6130959781446338 ,
['PTS', 'FGA', 'FTM', 'Win'] : -0.4772817966545338 ,
['PTS', 'FGA', 'FTA', 'REB'] : -0.46802836559480654 ,
['PTS', 'FGA', 'FTA', 'AST'] : -0.6298926038501151 ,
['PTS', 'FGA', 'FTA', 'STL'] : -0.6581519810331987 ,
['PTS', 'FGA', 'FTA', 'BLK'] : -0.5162146392591331 ,
['PTS', 'FGA', 'FTA', 'TO'] : 0.07459374611851435 ,
['PTS', 'FGA', 'FTA', 'Win'] : -0.5539222925698406 ,
['PTS', 'FGA', 'REB', 'AST'] : -0.6453904351018149 ,
['PTS', 'FGA', 'REB', 'STL'] : -0.28331380529499883 ,
['PTS', 'FGA', 'REB', 'BLK'] : -0.6748453979456267 ,
['PTS', 'FGA', 'REB', 'TO'] : -0.46409203540035976 ,
['PTS', 'FGA', 'REB', 'Win'] : -0.5836634995167534 ,
['PTS', 'FGA', 'AST', 'STL'] : -0.5441342329324953 ,
['PTS', 'FGA', 'AST', 'BLK'] : -0.6006197001573806 ,
['PTS', 'FGA', 'AST', 'TO'] : -0.6055530373545961 ,
['PTS', 'FGA', 'AST', 'Win'] : -0.47841706089707464 ,
['PTS', 'FGA', 'STL', 'BLK'] : -0.6619118131713428 ,
['PTS', 'FGA', 'STL', 'TO'] : -0.5887748088115551 ,
['PTS', 'FGA', 'STL', 'Win'] : -0.37901723958128497 ,
['PTS', 'FGA', 'BLK', 'TO'] : -0.1427168847114859 ,
['PTS', 'FGA', 'BLK', 'Win'] : -0.5392371567404701 ,
['PTS', 'FGA', 'TO', 'Win'] : -0.48151302333279417 ,
['PTS', 'FTM', 'FTA', 'REB'] : -0.3417424876799095 ,
['PTS', 'FTM', 'FTA', 'AST'] : -0.5138776881027105 ,
['PTS', 'FTM', 'FTA', 'STL'] : -0.5110590519962014 ,
['PTS', 'FTM', 'FTA', 'BLK'] : -0.509386423889767 ,
['PTS', 'FTM', 'FTA', 'TO'] : -0.528460033252813 ,
['PTS', 'FTM', 'FTA', 'Win'] : -0.48590977011205955 ,
['PTS', 'FTM', 'REB', 'AST'] : -0.5818865252505886 ,
['PTS', 'FTM', 'REB', 'STL'] : -0.5652988918352483 ,
['PTS', 'FTM', 'REB', 'BLK'] : -0.5623068337070919 ,
['PTS', 'FTM', 'REB', 'TO'] : -0.5710412612694258 ,
['PTS', 'FTM', 'REB', 'Win'] : -0.42945271181571326 ,
['PTS', 'FTM', 'AST', 'STL'] : -0.44436187030451074 ,
['PTS', 'FTM', 'AST', 'BLK'] : -0.5577807360687583 ,
['PTS', 'FTM', 'AST', 'TO'] : -0.46922846786811256 ,
['PTS', 'FTM', 'AST', 'Win'] : -0.16819247476096622 ,
['PTS', 'FTM', 'STL', 'BLK'] : -0.3722788350794832 ,
['PTS', 'FTM', 'STL', 'TO'] : -0.5541283050459013 ,
['PTS', 'FTM', 'STL', 'Win'] : -0.23116207121689616 ,
['PTS', 'FTM', 'BLK', 'TO'] : -0.5718527116763628 ,
['PTS', 'FTM', 'BLK', 'Win'] : -0.26437192933005293 ,
['PTS', 'FTM', 'TO', 'Win'] : -0.3985939858525115 ,
['PTS', 'FTA', 'REB', 'AST'] : -0.6904902618346243 ,
['PTS', 'FTA', 'REB', 'STL'] : -0.374353065174354 ,
['PTS', 'FTA', 'REB', 'BLK'] : -0.6413094111709705 ,
['PTS', 'FTA', 'REB', 'TO'] : -0.48476962051932226 ,
